question_id,question_text,option_A,option_B,option_C,dimension,version
"q21","当遇到聚会中第一次见面的人对你很热情时，你会","很高兴，情绪会受到感染，并对其产生好感","热情应付，但心存一丝疑虑：对方为什么要这样热情，是否有其他目的","","","standard_93"
"q22","你懂得如何把每分每秒都花得有意义","是的","不习惯计划时间，喜欢随心所欲","","","standard_93"
"q23","总体而言，你是一个在交流时有些保守和有距离感的人","是的","不是","","","standard_93"
"q24","你时常容易流露和说出你的感觉和感情","是的","不易流露感情","","","standard_93"
"q25","经过冗长的社交之后，你会想要离开，独处一下","是的，我常有这样的感觉","没有这种体会","","","standard_93"
"q26","你常会站在对方角度去思考而模糊了自己的立场","是的","不会","","","standard_93"
"q27","你容易看出具体事件背后的普遍原理","是的","不是","","","standard_93"
"q28","当要去见陌生人时，我通常","多少有些不情愿","不感到难为情","","","standard_93"
"q29","你倾向通过以下哪种方式收集信息","你对目前状况的实际认知","你对有可能发生之事的想象和期望","","","standard_93"
"q30","对于应酬中逢场作戏、聪明圆融的人，你的看法是","不理解，也无法接受人们快速地相熟热络，而又骨底淡薄","看应酬的目的是什么，只要目的是有益的，这些也都无所谓了","","","standard_93"
"q31","你倾向如此做决定......","首先依你的逻辑，然后依你的心意","首先依你的心意，然后依你的逻辑","","","standard_93"
"q32","大多数时候，你宁可看一本书，也不愿意出去参加聚会","是的","我喜欢参加聚会","","","standard_93"
"q33","大多数时候，你倾向于......","随机应变","事先计划","","","standard_93"
"q34","你倾向从何处得到力量......","朋友","自己的想法","","","standard_93"
"q35","当你不同意朋友的想法时","你尽可能地避免伤害对方的感情；若是会对对方造成伤害的话，你就不会说","你通常毫无保留地说话，并且对朋友直言不讳，因为对的就是对的","","","standard_93"
"q36","我常看到感人的电视或电影情景看到泪流不止","是的","我很少因为这样的事情哭。只有在特别伤心的事发生在自己身上时才会哭","","","standard_93"
"q37","你更喜欢远离外界的喧嚣","是的","不，我喜欢热闹","","","standard_93"
"q38","当不得不主动同生人打交道时，我","有点儿担心别人不愿被打搅","感到自信并且轻松","","","standard_93"
"q39","你是一个时间观念很强的人","是的","不是","","","standard_93"
"q40","脑海里常冒出一些新点子","是的","不是","","","standard_93"
"q41","当和朋友约定好见面","若你所约的人来迟了，你会很不高兴","一点儿都不在乎，因为你自己常常迟到","","","standard_93"
"q42","把事物收拾得有条理，你就会感到高兴","是的","不，我习惯自由自在和随意","","","standard_93"
"q43","你倾向拥有......","很多认识的人和很亲密的朋友","一些很亲密的朋友和一些认识的人","","","standard_93"
"q44","你能够很好的控制自己的欲望和外部诱惑","是的","更多时候我会不由自主","","","standard_93"
"q45","哪种更符合你","喜欢发掘新点子","不善于此","","","standard_93"
"q46","相对解决问题的结果，你更注重解决的过程和方法","是的","不是","","","standard_93"
"q47","碰到熟人，下意识躲避","常常这样","不常这样","","","standard_93"
"q48","哪种更符合你......","我很少质询和指责他人，更愿意做一个随和与包容的人","我不想充当老好人，发现他人犯错就会直言不讳指出来","","","standard_93"
"q49","解决问题的时候，比起用新的方法，你更愿意用熟悉的方法解决","是的","不是","","","standard_93"
"q50","你的内心渴望一次冒险","是的","没有","","","standard_93"
"q51","下面哪个更符合你","在不与人接触的场合，我充满了生命的愉悦","哪怕喧嚣嘈杂一点，也比一个人孤伶伶呆着强","","","standard_93"
"q52","你发现很难谈论自己的情感","是这样","不是","","","standard_93"
"q53","对我更具吸引力的人是","聪明而反应敏捷的人","稳重而脚踏实地的人","","","standard_93"
"q54","你倾向于凡事都持科学的态度","是的","不是，我比较感性","","","standard_93"
"q55","当你考虑一件事情时，你很少想到事情可能的发展，而是更多关注目的","是这样","不是，我更容易陷入对未来可能性的推测中","","","standard_93"
"q56","你容易被强烈的情感影响","是这样","不会","","","standard_93"
"q57","比起事前的计划，你的决定大多基于瞬间的感觉","是的","不是","","","standard_93"
"q58","你喜欢一个人独自享受空闲时光，或者在安静的家庭环境中放松","是这样","不是","","","standard_93"
"q59","传统的生活方式让你觉得更自在","是的","不是，我渴望新的体验","","","standard_93"
"q60","大多数时候，你是这种人......","喜欢先纵观全局","喜欢先掌握细节","","","standard_93"
"q61","你的桌子，办公台，总是整洁而规律","是的","不是","","","standard_93"
"q62","独自行走你会觉得舒服","是的","我更愿意找人聊天、参加娱乐活动","","","standard_93"
"q63","你倾向相信......","你直接的观察和现成的经验","你的直觉","","","standard_93"
"q64","好朋友倾向对你说","你难道不可以安静一会儿吗？","可以请你从你的世界中出来一下吗？","","","standard_93"
"q65","你是此类型的人......","喜欢在一段时间里专心于一件事情直到完成","享受同时进行好几件事情","","","standard_93"
"q66","喜欢受到他人的关心","是的，感觉旁边人在关心我的话，心情当然好咯","不,不要过分在意我","","","standard_93"
"q67","小时候，我更热衷于","问为什么，或自己动手拆玩具找到其原理","绘画和表述，描绘和描述所看到的","","","standard_93"
"q68","我常常会急急忙忙赶一件事","是的","不是","","","standard_93"
"q69","相对之下，我更欣赏","实业家洛克菲勒","爱因斯坦","","","standard_93"
"q70","你偏好......","事先知道约会的行程：要去哪里、有谁参加、你会在那里多久","让约会自然地发生，不做太多事先的计划","","","standard_93"
"q71","哪一项较常见","你准时出席而其他人都迟到","其他人都准时出席而你迟到","","","standard_93"
"q72","我更愿意被看作是......","务实的人","有想象力、有灵感的人","","","standard_93"
"q73","闲暇时候，你更愿意看哪方面的书","摄影","哲学思辨","","","standard_93"
"q74","选择较符合你的词......","准时","闲适、悠然","","","standard_93"
"q75","很容易与他人成为朋友","是的，不管对方是谁，我都能和他和睦相处","没有必要和所有人都成为朋友，有几个真正的知己就可以","","","standard_93"
"q76","哪种描述较符合你","如果对于一个东西没有一套合理的系统的解释，我就感觉搞不清楚，一片模糊","享受生活和现实，给什么东西都进行抽象和解释，太累了","","","standard_93"
"q77","疲惫地下班回家时，哪种描述更像你","再累也收拾整齐了再休息","扔下包倒床就睡","","","standard_93"
"q78","只要有爱，什么都可以原谅","不认同。就算相爱，凡事都是有分寸的","认同，爱情能冲淡一切不快","","","standard_93"
"q79","喜欢清闲的生活","是的，我喜欢轻轻松松的人生","我喜欢有挑战的人生，不断给自己更高的目标","","","standard_93"
"q80","我喜欢一个人行动","是的，孤独适合我","不，不要让我孤苦伶仃一个人","","","standard_93"
"q81","喜欢装饰","是，喜欢漂亮的，可爱的，华丽的","不，服装嘛，只要有一件T恤，一条牛仔裤就足够了","","","standard_93"
"q82","哪种意境更符合你","人生就像一场旅行 不必在意目的地 在乎的是沿途的风景和看风景的心情","人生需要树立目标并为之奋斗，专注人生目标的人往往无暇欣赏路途美景","","","standard_93"
"q83","对我而言，解决问题本身就是一种乐趣","是的","我更喜欢发现和体验美好的东西","","","standard_93"
"q84","喜欢推测、预测和分析","是的","这些对我而言都是浮云，我只想把握好当下","","","standard_93"
"q85","准备搭车远行时，哪种更符合你","临行前才匆匆忙忙收拾，赶到车站车已经差不多要出发了...谁叫我是个慢性子呢","早早收拾好行李，第二天提前很早就去到车站，发现你是第一个来候车的人","","","standard_93"
"q86","马上能叫出五个朋友的名字","不要说是5个，让我说出10个人也没问题呀","突然让我叫出5个人的名字，想不起来呀！天啊，难道我朋友这么少吗","","","standard_93"
"q87","哪种更接近朋友对你的评价","外表平静，大家都说我闷骚","开朗活泼，大家都说我太聒噪了","","","standard_93"
"q88","周围的朋友们都说我是很冷静的人","我说话做事比较冲动，并非一个冷静的人","是，我的性格是孤言寡语，非常冷静","","","standard_93"
"q89","你更擅长......","运用逻辑、分析及批判性思维来解决问题","运用人际关系解决问题","","","standard_93"
"q90","对周围人的变化很敏感","是的，连朋友换个戒指也瞒不了我","不，有时候对方换什么衣服都察觉不到","","","standard_93"
"q91","哪种更符合你","凡事追求个性，完全凭自己的兴趣，没有固定的程式","传统而保守，不喜欢标新立异","","","standard_93"
"q92","哪种更符合你","过于抽象，因此在必要的后续行动上不切实际","沉浸于细节，导致视野不开阔","","","standard_93"
"q93","哪种更符合你","喜欢惊喜并适应最后的变化","不喜欢变化，追求稳定与踏实","","","standard_93"
